analysis_id,47090j7vt6k439j
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.7061164
parameter_id,IMPC_ACS_034_001
gene_symbol,Mecom
gene_accession_id,MGI:95457
