parameter_name,Lens
analysis_id,6e1pq8l762ud623
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
mouse_life_stage,E9.5
gene_symbol,Orc2
gene_accession_id,MGI:1328306
pvalue,0.1537526
