analysis_id,qk75c5yf2m19y70
mouse_life_stage,E12.5
parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,IMPC_HEM_006_001
gene_accession_id,MGI:1915087
pvalue,0.1016248
