analysis_id,yh1ew1l4y75wsgn
gene_accession_id,MGI:95835
pvalue,0.528983
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
