analysis_id,1o32y039985k7r6
mouse_strain,C57BL
parameter_id,MGP_BMI_006_001
mouse_life_stage,Early adult
gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
pvalue,0.8095785
