parameter_name,Hematocrit
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_HEM_004_001
analysis_id,75v14i5lm365104
pvalue,0.5135108
gene_symbol,Frmpd1
