gene_symbol,Zmynd8
mouse_life_stage,Early adult
pvalue,0.5910041
parameter_id,IMPC_EYE_009_001
analysis_id,nzm40x9nsbsjx9c
parameter_name,Corneal vascularization
gene_accession_id,MGI:1918025
mouse_strain,C57BL
