analysis_id,8ry87b3w7pq11jh
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:107566
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
gene_symbol,Kifap3
mouse_strain,C57BL
pvalue,0.9108524
