parameter_name,PP1 startle magnitude
gene_symbol,Slc45a3
parameter_id,ESLIM_011_001_002
analysis_id,jv9q7k2758b8q5c
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7389772
