gene_symbol,Cmpk1
parameter_name,Corneal opacity
pvalue,0.3428889
mouse_strain,C57BL
gene_accession_id,MGI:1913838
analysis_id,1ee4j48700ayf7t
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
