parameter_name,Cleft palate
analysis_id,9wyg317809f374i
gene_symbol,Bmi1
pvalue,0.6023922
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,IMPC_GEP_076_001
mouse_life_stage,E12.5
