parameter_name,Potassium
mouse_strain,C57BL
analysis_id,772nv12in81wxrp
mouse_life_stage,Early adult
pvalue,0.9718352
parameter_id,GMC_906_001_005
gene_accession_id,MGI:88461
gene_symbol,Col6a3
