analysis_id,b2u05tovw396074
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1931749
gene_symbol,Pum1
pvalue,0.8139859
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
