parameter_name,Eosinophil cell count
pvalue,0.8223473
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hpca
analysis_id,2b7v2fe82v79609
gene_accession_id,MGI:1336200
