gene_symbol,Rgs20
mouse_strain,C57BL
analysis_id,0x60579709x5mh5
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
parameter_name,Periphery average speed
pvalue,0.4022339
