analysis_id,o77v49ty0b68j3v
pvalue,0.820178
gene_accession_id,MGI:1915678
gene_symbol,Steap3
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Shape of ribcage
