parameter_id,JAXLA_HBD_001_001
gene_symbol,Slc39a10
analysis_id,4qm48p21rw1z8ny
parameter_name,Total holepokes
gene_accession_id,MGI:1914515
mouse_strain,C57BL
pvalue,0.9249506
mouse_life_stage,Early adult
