analysis_id,oh40t0810d8r33q
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.2499592
parameter_id,MGP_IMM_078_001
