pvalue,0.3887524
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_strain,C57BL
gene_symbol,Ahctf1
analysis_id,1v2n83h62075x81
