gene_symbol,Gja10
mouse_life_stage,Early adult
pvalue,0.05511186
mouse_strain,C57BL
gene_accession_id,MGI:1339969
analysis_id,02km644l1l3v4p6
parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
