gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
pvalue,0
analysis_id,78id95er028j7w3
parameter_id,MGP_IMM_078_001
