parameter_name,Center distance travelled
pvalue,0.5737713
gene_symbol,Slc17a9
mouse_strain,C57BL
analysis_id,5dlwta714b508z6
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
