analysis_id,3uhintnpcf1s022
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:2444554
pvalue,0.2822851
gene_symbol,Mapkap1
parameter_id,MGP_IMM_036_001
