analysis_id,ene78779658960g
parameter_id,IMPC_IMM_034_001
gene_symbol,Traf6
pvalue,0.6365175
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:108072
mouse_strain,C57BL
mouse_life_stage,Early adult
