gene_symbol,Eprs1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
analysis_id,nu466fh3ltt1nam
parameter_id,MGP_MLN_093_001
gene_accession_id,MGI:97838
pvalue,0.8000696
