gene_symbol,S100a3
pvalue,0.06182163
parameter_id,ESLIM_004_001_701
analysis_id,10oc78xbz1etct6
mouse_strain,C57BL
gene_accession_id,MGI:1338849
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
