gene_symbol,Atrn
pvalue,0.2491085
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:1341628
analysis_id,80j62k3p8m53066
