analysis_id,8b1f0eap6z37667
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_strain,C58BL
pvalue,0.5798682
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
