analysis_id,f7g4c5jfe4e9uod
pvalue,0.6124706
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
gene_symbol,Cpa3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88479
