gene_symbol,Rhbg
pvalue,0.4695932
analysis_id,u6e04pwcsc6d0nu
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
