gene_symbol,Tnfsf10
parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
parameter_name,Latency to first transition into dark
analysis_id,71hcfro9es3gtqn
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
pvalue,0.1156956
