analysis_id,6f486tjp7gpen06
parameter_name,Total T cells - % of CD45+
gene_symbol,Slc17a9
pvalue,0.6066083
mouse_life_stage,Early adult
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:1919107
mouse_strain,C57BL
