analysis_id,9385838z478r57j
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_IMM_079_001
pvalue,0.8853314
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922745
gene_symbol,Morn5
