analysis_id,s3s37wz319432wf
gene_symbol,Nemp2
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
parameter_name,Eye
gene_accession_id,MGI:2444113
pvalue,0.9457075
mouse_strain,C57BL
