analysis_id,wlu4s84f834bp14
mouse_strain,C57BL
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
pvalue,0.5153356
gene_symbol,Arpc5l
parameter_id,IMPC_IMM_071_001
parameter_name,MZB (CD21/35 high)
