analysis_id,ozq09wwbg5oo32m
mouse_strain,C57BL
parameter_name,Eye
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
pvalue,0.601317
mouse_life_stage,Early adult
