gene_symbol,Tubb4b
mouse_strain,C57BL
analysis_id,3mm308hg7r79032
parameter_name,Periphery resting time
mouse_life_stage,Early adult
pvalue,0.1889707
parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1915472
