parameter_id,TCPLA_GRS_011_001
mouse_life_stage,E9.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1328306
analysis_id,973d49993d892xg
pvalue,0.4035512
gene_symbol,Orc2
mouse_strain,C57BL
