parameter_name,Edema
pvalue,0.6355895
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
gene_symbol,Rhbg
analysis_id,520102230d4s7s1
gene_accession_id,MGI:1927379
mouse_strain,C57BL
