gene_symbol,Clvs1
parameter_name,Zygomatic bone
mouse_strain,C57BL
pvalue,0.2982196
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
analysis_id,37015vx315ir391
parameter_id,IMPC_XRY_002_001
