analysis_id,7um28jo55371md2
gene_symbol,Dnajc5b
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
pvalue,0.8076289
