parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
analysis_id,59kb7h872qrb61j
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
gene_symbol,Snap23
pvalue,0.5918876
