pvalue,0
parameter_id,IMPC_CAL_008_001
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
mouse_strain,C50BL
analysis_id,82fl76n5306rfy3
parameter_name,Total food intake
