analysis_id,t2o5y81fei78929
mouse_life_stage,Early adult
gene_symbol,Casq1
mouse_strain,C57BL
parameter_name,White blood cell-count
gene_accession_id,MGI:1309468
parameter_id,M-G-P_016_001_001
pvalue,0.1394628
