gene_symbol,Cds2
mouse_strain,129SV
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
mouse_life_stage,Early adult
pvalue,0.6372502
analysis_id,7l03k9n1m365493
gene_accession_id,MGI:1332236
