gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6t9fyy4xxsai389
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
pvalue,0.346677
