analysis_id,n282ddp9hq20962
pvalue,0.2475156
gene_symbol,Ilkap
mouse_life_stage,Early adult
parameter_name,Zygomatic bone
mouse_strain,C51BL
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:1914694
