analysis_id,k0743712i740185
parameter_id,IMPC_CSD_007_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1444051
