mouse_strain,129SV
parameter_name,Retina (combined)
analysis_id,4bbpt3l9d38lnn1
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.08827689
parameter_id,JAXLA_EYE_092_001
gene_symbol,Arpc2
