gene_symbol,Col11a1
mouse_strain,C57BL
pvalue,0.5904122
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:88446
parameter_id,MGP_MLN_010_001
analysis_id,96hzli1w740k264
mouse_life_stage,E18.5
