parameter_name,Response amplitude - S
mouse_life_stage,E9.5
pvalue,0.4837131
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:1914515
analysis_id,bh90928b8x1293j
gene_symbol,Slc39a10
