pvalue,0.09248978
gene_accession_id,MGI:1924315
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Ints7
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
analysis_id,z6y3k40g36ka942
