parameter_name,Placenta Size
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.131468
mouse_life_stage,Early adult
parameter_id,IMPC_GPP_004_001
gene_symbol,Bcs1l
analysis_id,e59546tcsc4cv2k
