mouse_strain,B6J
gene_accession_id,MGI:1346344
parameter_name,Periphery distance travelled
gene_symbol,Nr0b2
parameter_id,ESLIM_007_001_006
mouse_life_stage,Early adult
pvalue,0.1913788
analysis_id,70rq38x86p1m92v
