parameter_id,JAX_PLC_002_001
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
pvalue,0.8276241
mouse_strain,C57BL
analysis_id,6x4h24l1o8bco0c
parameter_name,HDL cholesterol
gene_symbol,Atg4c
