mouse_strain,C3H
gene_symbol,Mecom
analysis_id,46pjvu9075mv3un
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
pvalue,0.9876144
