mouse_strain,C3H
parameter_id,M-G-P_014_001_009
parameter_name,lens
gene_symbol,Mecom
pvalue,0.7958195
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
analysis_id,7w561w0jon9yaa9
