parameter_id,IMPC_ABR_002_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
analysis_id,l6h24si0044n1h1
pvalue,0.6762498
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
mouse_life_stage,Early adult
