gene_symbol,Il1r1
mouse_strain,C54BL
mouse_life_stage,Early adult
pvalue,0.390363
parameter_id,MGP_IMM_071_001
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:96545
analysis_id,99k6tp3hn0ra88x
