parameter_name,center - resting time
mouse_strain,C57BL
analysis_id,6fobu6pfb578nok
parameter_id,M-G-P_007_001_011
pvalue,0.1389705
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
gene_symbol,Ola1
