gene_symbol,Fgb
pvalue,0.4507964
gene_accession_id,MGI:99501
analysis_id,in29p3xx4l16u5z
parameter_id,IMPC_GEO_019_001
mouse_strain,C57BL
parameter_name,Embryo Size
mouse_life_stage,E12.5
