parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
pvalue,0.0917249
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
analysis_id,cbki2k51422281j
gene_symbol,Mecom
