analysis_id,6t4m7xb00d0531y
parameter_name,Periphery resting time
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1923959
pvalue,0.05464978
mouse_strain,129SV
