parameter_id,IMPC_FEA_106_001
pvalue,0.1649301
gene_symbol,Slc2a8
mouse_strain,C57BL
analysis_id,6c8x46oqhr20879
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
